url,ground_truth_label,predicted_label,profanity_result,attack_result
https://bsky.app/profile/shellyamber.bsky.social/post/3lr3bebklac2n,Targeted,Targeted,tp,tp
https://bsky.app/profile/gadi2346.bsky.social/post/3m4gqdy6kpc2v,Targeted,Targeted,tp,tp
https://bsky.app/profile/lynskoang.bsky.social/post/3m4fwphv5fc24,Profanity,Profanity,tp,tn
https://bsky.app/profile/lexbang.bsky.social/post/3lfxayzb4uc2c,Profanity,Profanity,tp,tn
https://bsky.app/profile/gvent.bsky.social/post/3m4gnyrm3qk2f,Targeted,Targeted,tp,tp
https://bsky.app/profile/lexbang.bsky.social/post/3lkr25y6w322h,Profanity,Profanity,tp,tn
https://bsky.app/profile/sloanelysbeth.bsky.social/post/3m3zjkqofoc2o,Targeted,Targeted,tp,tp
https://bsky.app/profile/hotdiggitydr.bsky.social/post/3m2spvc3pqk2m,Targeted,Targeted,tp,tp
https://bsky.app/profile/theskagooner.bsky.social/post/3m3wzhboqbk2g,Targeted,Targeted,tp,tp
https://bsky.app/profile/tiana-atr.bsky.social/post/3m4cailt4vc23,Neutral,Neutral,tn,skip
https://bsky.app/profile/marvls1.bsky.social/post/3m3n4jtz6ac2g,Targeted,Targeted,tp,tp
https://bsky.app/profile/ayitsgreyj.bsky.social/post/3m47vbmandk2z,Profanity,Profanity,tp,tn
https://bsky.app/profile/m0urn-the-weenie.bsky.social/post/3m4fwed3yr224,Targeted,Targeted,tp,tp
https://bsky.app/profile/cattlecrafts.bsky.social/post/3m4g6pd5ka22j,Profanity,Profanity,tp,tn
https://bsky.app/profile/eindrifteraston.bsky.social/post/3m4du73ckuk2q,Targeted,Targeted,tp,tp
https://bsky.app/profile/xenofawn.bsky.social/post/3m4c4b3czs22e,Targeted,Targeted,tp,tp
https://bsky.app/profile/shy-magpie.bsky.social/post/3ltpsoo2ex22y,Profanity,Profanity,tp,tn
https://bsky.app/profile/3ofspades.bsky.social/post/3m4f5reqv4s2e,Profanity,Targeted,tp,fp
https://bsky.app/profile/molson.bsky.social/post/3m3qcbfj42c2f,Profanity,Targeted,tp,fp
https://bsky.app/profile/qmickhusky.bsky.social/post/3m4gdab3wxs25,Neutral,Profanity,fp,skip
https://bsky.app/profile/josephfarina.bsky.social/post/3lwbztesnxc2x,Targeted,Targeted,tp,tp
https://bsky.app/profile/hentaihubx.bsky.social/post/3m4gm4bziww22,Profanity,Profanity,tp,tn
https://bsky.app/profile/wisdomwangle.bsky.social/post/3lyfv3orths2f,Profanity,Profanity,tp,tn
https://bsky.app/profile/ayeeredboi.bsky.social/post/3m4fy7bx3mk2j,Targeted,Targeted,tp,tp
https://bsky.app/profile/herrcausb.bsky.social/post/3m4fov3x4rs23,Neutral,Targeted,fp,skip
https://bsky.app/profile/thevinyllitigator.bsky.social/post/3m4gq2spwpc2h,Targeted,Targeted,tp,tp
https://bsky.app/profile/apopularmonster.bsky.social/post/3m4fuxbqses2w,Neutral,Neutral,tn,skip
https://bsky.app/profile/harajukustudio.bsky.social/post/3m4efrtmdqs2y,Profanity,Profanity,tp,tn
https://bsky.app/profile/tenshikits.bsky.social/post/3m4gptpctjc2a,Neutral,Profanity,fp,skip
https://bsky.app/profile/pitdiver.bsky.social/post/3m43yilupi22k,Profanity,Neutral,fn,skip
https://bsky.app/profile/buddysystem8.bsky.social/post/3m4gqag4c4c2i,Profanity,Neutral,fn,skip
